Date,"Adams County, ND","Barnes County, ND","Benson County, ND","Billings County, ND","Bottineau County, ND","Bowman County, ND","Burke County, ND","Burleigh County, ND","Cass County, ND","Cavalier County, ND","Dickey County, ND","Divide County, ND","Dunn County, ND","Eddy County, ND","Emmons County, ND","Foster County, ND","Golden Valley County, ND","Grand Forks County, ND","Grant County, ND","Griggs County, ND","Hettinger County, ND","Kidder County, ND","LaMoure County, ND","Logan County, ND","McHenry County, ND","McIntosh County, ND","McKenzie County, ND","McLean County, ND","Mercer County, ND","Morton County, ND","Mountrail County, ND","Nelson County, ND","Oliver County, ND","Pembina County, ND","Pierce County, ND","Ramsey County, ND","Ransom County, ND","Renville County, ND","Richland County, ND","Rolette County, ND","Sargent County, ND","Sheridan County, ND","Sioux County, ND","Slope County, ND","Stark County, ND","Steele County, ND","Stutsman County, ND","Towner County, ND","Traill County, ND","Walsh County, ND","Ward County, ND","Wells County, ND","Williams County, ND"
09/1955,0.0,0.0,0.0,13372.0,39084.0,0.0,9447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86227.0,0.0,0.0,0.0,215262.0,0.0,0.0,0.0,0.0,0.0,0.0,678.0,0.0,0.0,0.0,0.0,0.0,0.0,419.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,686909.0
09/1956,0.0,0.0,0.0,16820.0,27008.0,0.0,9353.0,0.0,0.0,0.0,0.0,1137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179400.0,0.0,0.0,0.0,185719.0,0.0,0.0,0.0,0.0,0.0,0.0,1177.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,610441.0
09/1957,0.0,0.0,0.0,18725.0,29743.0,0.0,29328.0,0.0,0.0,0.0,0.0,2441.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196285.0,0.0,0.0,0.0,115559.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,511.0,0.0,0.0,0.0,0.0,0.0,407.0,0.0,386072.0
09/1958,0.0,0.0,0.0,27247.0,115380.0,1264.0,102143.0,0.0,0.0,0.0,0.0,10823.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214952.0,0.0,0.0,0.0,68339.0,0.0,0.0,0.0,0.0,0.0,0.0,1951.0,0.0,0.0,0.0,0.0,0.0,0.0,3802.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261645.0
09/1959,0.0,0.0,0.0,28775.0,109379.0,865.0,260335.0,0.0,0.0,0.0,0.0,27305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,452354.0,0.0,0.0,0.0,116193.0,0.0,0.0,0.0,0.0,0.0,0.0,12137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,493793.0
09/1960,0.0,0.0,0.0,42127.0,211777.0,8719.0,356901.0,0.0,0.0,0.0,0.0,44014.0,7121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1121.0,0.0,525591.0,0.0,0.0,0.0,112594.0,0.0,0.0,0.0,0.0,0.0,0.0,88383.0,0.0,0.0,0.0,0.0,0.0,0.0,2202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429076.0
09/1961,0.0,0.0,0.0,59008.0,240565.0,45084.0,337275.0,0.0,0.0,0.0,0.0,37660.0,4084.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,788.0,0.0,555272.0,0.0,0.0,0.0,133188.0,0.0,0.0,0.0,0.0,0.0,0.0,102069.0,0.0,0.0,0.0,0.0,0.0,0.0,5079.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,552376.0
09/1962,0.0,0.0,0.0,54287.0,238596.0,80972.0,309411.0,0.0,0.0,0.0,0.0,24461.0,3118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,619.0,0.0,387036.0,0.0,0.0,0.0,79931.0,0.0,0.0,0.0,0.0,0.0,0.0,150305.0,0.0,0.0,0.0,0.0,0.0,0.0,3263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389562.0
09/1963,0.0,0.0,0.0,55257.0,203421.0,72107.0,275152.0,0.0,0.0,0.0,0.0,30464.0,3761.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4535.0,0.0,612365.0,0.0,0.0,0.0,112150.0,0.0,0.0,0.0,0.0,0.0,0.0,123739.0,0.0,0.0,0.0,0.0,0.0,0.0,3413.0,0.0,0.0,0.0,0.0,0.0,393.0,0.0,554680.0
09/1964,0.0,0.0,0.0,65688.0,203982.0,60601.0,295411.0,0.0,0.0,0.0,0.0,27243.0,2801.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5031.0,0.0,621842.0,0.0,0.0,0.0,132393.0,0.0,0.0,0.0,0.0,0.0,0.0,186641.0,0.0,0.0,0.0,0.0,0.0,0.0,4094.0,0.0,0.0,0.0,0.0,0.0,1419.0,0.0,617059.0
