"api","cum_gor_180","cum_gor_30","cum_gor_365","cum_gor_545","cum_gor_730","cum_gor_90","cum_oil_180","cum_oil_30","cum_oil_365","cum_oil_545","cum_oil_730","cum_oil_90","cum_water_180","cum_water_30","cum_water_365","cum_water_545","cum_water_730","cum_water_90","cum_wc_180","cum_wc_30","cum_wc_365","cum_wc_545","cum_wc_730","cum_wc_90"
"33025011060000","789.076","1045.342","839.109","930.815","986.358","854.569","34714","7256","49605","62904","73965","19425","16685","5393","21739","25935","32480","10577","32.462","42.636","30.471","29.193","30.513","35.254"
"33053029730000","2363.392","2216.98","2372.376","2383.097","2414.144","2195.834","67613","28468","93736","109967","125157","49644","11046","5013","15416","18072","20568","8237","14.043","14.973","14.123","14.114","14.114","14.231"
"33061012080000","842.677","945.667","766.823","722.801","722.735","886.837","81463","23945","127148","160477","185328","52526","58828","30540","78450","94143","105744","45440","41.933","56.052","38.157","36.974","36.329","46.383"
"33061025320000","1332.414","1497.043","","","","1424.52","57982","24008","","","","42203","22253","6582","","","","16351","27.735","21.517","","","","27.925"
"33053054220000","1249.572","750.288","","","","844.481","139711","19987","","","","70840","35729","2357","","","","16006","20.365","10.549","","","","18.43"
"33053047500000","1744.111","2448.734","1888.561","1737.684","","2262.908","70890","7305","113955","157924","","37709","25706","2157","41616","59374","","14004","26.612","22.796","26.75","27.324","","27.08"
"33105020200000","1193.972","990.001","1314.971","1347.556","1302.13","1129.932","61416","19502","84157","98180","108609","41460","63093","25135","89975","111247","122707","44805","50.673","56.31","51.671","53.12","53.047","51.939"
"33061016420000","640.549","568.098","655.542","720.154","716.066","608.35","124843","37189","182919","233078","272017","78445","13607","8768","16429","18614","24767","11454","9.828","19.079","8.241","7.396","8.345","12.741"
"33061028000000","","885.412","","","","","","4538","","","","","","7936","","","","","","63.62","","","",""
"33053037450000","1361.059","1119.306","1486.472","1502.48","1549.993","1343.644","110212","37408","141554","164526","183535","76396","10484","4879","13611","15944","17923","7350","8.686","11.538","8.772","8.835","8.897","8.777"
"33053037160000","1629.488","1655.99","1711.276","1656.055","1629.238","1683.085","80135","26226","118397","138615","167396","54573","83914","36484","117960","137003","189043","61784","51.152","58.179","49.908","49.708","53.037","53.099"
"33053048680000","1369.58","1415.034","1402.239","1357.6","","1138.234","119203","26340","160989","198610","","77188","47608","16300","60479","72111","","37032","28.54","38.227","27.308","26.637","","32.422"
"33061031040000","","1243.109","","","","","","36749","","","","","","10129","","","","","","21.607","","","",""
"33053041180000","969.835","1101.399","1148.245","1182.382","1233.783","948.073","95110","28235","139276","169123","201011","60758","50946","22354","61569","73288","92083","37668","34.881","44.187","30.655","30.233","31.418","38.27"
"33023007430000","951.579","962.151","940.32","991.989","1020.56","933.515","65179","17570","91555","116593","133703","38144","58498","20127","77359","94858","108271","38848","47.299","53.392","45.798","44.861","44.745","50.457"
"33053040320000","336.755","173.266","702.337","894.292","1020.973","219.696","73258","22301","102307","124617","144045","49837","17481","9003","22366","28090","37979","13467","19.265","28.76","17.94","18.395","20.865","21.274"
