api,cum_gor_180,cum_gor_30,cum_gor_365,cum_gor_545,cum_gor_730,cum_gor_90,cum_oil_180,cum_oil_30,cum_oil_365,cum_oil_545,cum_oil_730,cum_oil_90,cum_water_180,cum_water_30,cum_water_365,cum_water_545,cum_water_730,cum_water_90,cum_wc_180,cum_wc_30,cum_wc_365,cum_wc_545,cum_wc_730,cum_wc_90
33025012570000,0.5316558441558441,0.45353943439311434,0.22868741542625168,0.21179302045728038,0.15446559297218154,0.3472684085510689,21976.83870967742,10634.258064516129,43294.96551724138,56181.0625,65143.87096774193,16581.25806451613,30208.41935483871,15093.612903225807,71510.79310344828,97829.4375,117508.90322580645,22774.032258064515,62.01048411964231,61.9528169484729,66.96099251145635,60.801886792452834,66.51960784313725,50.97810898928738
33025012580000,0.9905601874181768,0.9572127916587195,1.1454275482574898,0.7962687799240548,1.1468076453843026,0.9271649053447882,97130.48387096774,24517.93548387097,168145.53333333333,226812.33333333334,285424.4482758621,55884.16129032258,19805.83870967742,7083.0,30266.666666666668,39952.03703703704,71270.27586206897,12949.161290322581,12.782451923076923,16.601272534464474,12.22784421956455,13.397197597941092,45.956043956043956,14.385211221766582
33025012590000,1.0076349796020694,0.9491712972985976,1.0539138155886678,1.0133185788246453,1.05788317962231,0.8091450497621807,259003.16129032258,35746.0,501640.2,680373.6774193548,832583.0,115892.51612903226,5542.677419354839,960.8064516129032,11095.333333333334,16012.838709677419,20141.466666666667,2372.2903225806454,1.955219878441187,1.8417510802578452,2.462854204443963,2.346493767125931,3.4801407316349455,2.4961515228278026
33025012600000,1.0195266680466433,0.9357744272567065,1.2001045842774969,1.6855703963214363,1.068359375,0.9629987908101572,104329.54838709677,24825.129032258064,186803.86666666667,252393.77272727274,289832.5714285714,55975.1935483871,19154.935483870966,5672.548387096775,30174.4,39925.59090909091,68618.14285714286,11563.225806451614,12.803080440406715,17.344626672421235,11.68411330049261,7.513163223977319,28.654674436280718,14.54404546628778
33025012620000,0.36805128655484326,1.0786540934419202,1.4552455930172856,1.2274159663865547,0.543585237258348,0.9500421839218994,90157.96774193548,6921.483870967742,144702.7142857143,183222.70967741936,228513.96774193548,49126.45161290323,22907.935483870966,1072.6451612903227,37429.57142857143,47826.8064516129,67192.80645161291,11738.806451612903,19.79291399591463,19.195067885840952,22.803540758356455,23.733226517123974,20.140350877192983,22.020676691729324
33025012630000,0.3527885862516213,0.42865976194156746,0.35856573705179284,0.3488031265266243,0.2884078212290503,0.3675427617855653,25683.5,7998.548387096775,46238.87096774194,57999.6129032258,67905.6129032258,14580.2,39337.7,11783.83870967742,75991.83870967742,97483.48387096774,113192.12903225806,20749.4,64.36494731003883,56.83304417456293,67.93795620437956,60.86790288663735,59.87671616699355,62.727414088011194
33025012640000,0.6198892112898972,0.8641525605313907,0.6709108716944172,0.9883534136546185,1.0434560327198363,0.6258979554245717,40491.87096774193,13701.41379310345,62931.71428571428,79707.54838709677,92448.93548387097,26514.1,45928.48387096774,17161.758620689656,69408.0,87218.41935483871,102194.3870967742,31013.0,50.77901843676967,56.83233643707221,51.30365659777424,52.03236370641495,55.09641873278237,51.43572770373021
33025012650000,0.9671682626538988,0.8822950819672131,1.254355400696864,1.3073736536868268,1.186070686070686,0.9332763045337895,35160.58064516129,12411.90322580645,59891.2,75861.29032258065,88328.6129032258,25678.6,10454.774193548386,2691.483870967742,19507.0,25718.0,30556.09677419355,7560.0,22.316684378320936,28.42055855432997,27.55574253260412,27.135526712948987,28.28922847558703,24.955865832129675
33025012660000,0.29740690672237924,0.0,0.30091053620465386,0.5823726292301971,0.6413595933926303,0.17822966507177032,58024.6,0.0,106401.36666666667,142105.46666666667,167412.93333333332,34832.096774193546,32493.4,0.0,45266.03333333333,55420.86666666667,63393.333333333336,19094.09677419355,23.127066603684458,0,20.085470085470085,22.001450326323422,25.190114068441066,25.30156366344006
33025012670000,0.7834749034749035,0.778102723450923,0.3091386095321382,1.4642126789366052,0.9570552147239264,0.9110552763819095,53517.67741935484,16556.5,79442.75,95934.6,110047.0,32026.83870967742,21311.225806451614,10203.75,28482.75,34140.15,39623.0,15080.967741935485,20.63005638636921,23.902913971764377,15.980896399706099,24.6242774566474,23.852706787579006,23.608445297504797
33025012680000,0.7833838473881263,0.7918429819033043,0.5227995758218452,1.3711790393013101,1.2412607449856734,0.7120617643336287,51110.57142857143,15549.666666666668,74302.27272727272,90251.83870967742,102172.41379310345,33838.645161290326,24836.428571428572,9781.0,34393.77272727273,42773.45161290323,49381.379310344826,17602.1935483871,29.896262967129108,32.195836640009766,22.73658336747235,34.646118721461185,34.88805970149254,27.600109960597454
33025012690000,0.12614795918367347,0.7170369475971987,0.44914522534968054,0.41939152686949105,0.4363841807909605,0.9337609084218274,77386.33333333333,24323.333333333332,119364.5,152030.66666666666,180830.5,50193.25806451613,78893.93333333333,33902.0,119800.5,154759.33333333334,187894.5,56860.16129032258,44.49950445986125,47.97738693467337,49.66098748261474,51.81531716673517,53.81966186599875,43.69857337358669
33025012700000,1.5132286513228652,0.9127443881245474,2.081593927893738,1.9593577521324637,1.8767471410419314,1.0135887725551347,36328.22580645161,12089.555555555557,57699.0,72451.25806451614,84203.87096774194,23700.2,28662.967741935485,14193.814814814814,45211.6129032258,54938.48387096774,64218.3870967742,21767.2,30.00602228244505,49.518703545753624,39.12206391990759,44.914317302377,55.6369785794814,32.77927523210542
33025012710000,1.1134036981191968,0.7824606040709127,1.3170791774412018,0.7361708027173159,1.2937192118226601,1.0709604030117545,109761.25806451612,24902.161290322583,171838.41379310345,216660.51612903227,252899.51612903224,65266.86666666667,54380.3870967742,18921.83870967742,91730.89655172414,125875.41935483871,144210.87096774194,36660.26666666666,28.27299635701275,29.43765564371344,57.00217080531583,33.38566678980421,39.98521803399852,30.868034751348112
33025012720000,0.5297685913277915,0.7773857344479427,0.8464332036316472,0.8913352272727273,0.9575253924284395,0.6954432959673897,51436.17857142857,17525.709677419356,81375.0,100309.96774193548,115486.6,35511.2,38549.5,14385.161290322581,57691.333333333336,70135.41935483871,80493.13333333333,27389.8,43.32102381255571,47.28136446886447,39.19558359621451,41.3699770976473,41.125305789616746,40.60527453523562
