"api","file_no","Current_Operator","Current_Well_Name","Lease_Name","Lease_Number","Original_Operator","Original_Well_Name","Spud_Date","TD","County_Name","Township","Range","Section","QQ","Footages","Field_Name","Produced_Pools","Wellbore","Latitude","Longitude","Well_Type","Well_Status","CTB","Well_Status_Date"
"33061019990000","22216","WPX ENERGY WILLISTON, LLC","GEORGE EVANS  11-2HD","GEORGE EVANS","11-2HD","DAKOTA-3 E&P COMPANY, LLC","GEORGE EVANS  11-2HD","04/30/2012","20097","MOUNTRAIL","150 N","92 W","11","SWSE","531 FSL  1365 FEL","VAN HOOK","BAKKEN","HORIZONTAL","47.820123628599788","-102.41216171705727","OG","A","222214","10/12/2012"
"33013016490000","22217","CONTINENTAL RESOURCES, INC.","BARMOEN  1-18H","BARMOEN","1-18H","CONTINENTAL RESOURCES, INC.","BARMOEN  1-18H","02/21/2012","18920","BURKE","160 N","94 W","18","SWSE","410 FSL  1475 FEL","STONEVIEW","BAKKEN","HORIZONTAL","48.677848126590767","-102.87030923542105","OG","A","122217","05/23/2012"
"33053039350000","22218","WHITING OIL AND GAS CORPORATION","ROEN    34-10H","ROEN"," 34-10H","PETRO-HUNT, L.L.C.","ROEN   152-102-10D-3-1H","04/19/2012","21502","MCKENZIE","152 N","102 W","10","SWSE","250 FSL  1900 FEL","ELK","BAKKEN","HORIZONTAL","47.993721729464148","-103.71917707505246","OG","A","222218","07/13/2012"
"33009022590000","22219","BALLANTYNE OIL, LLC","WIBORG  3-5","WIBORG","3-5","BALLANTYNE OIL, LLC","WIBORG  3-5","01/27/2012","","BOTTINEAU","162 N","79 W","5","SENE","1866 FNL  677 FEL","SOUTHWEST LANDA","","VERTICAL","48.888745735073499","-100.93104773944894","WI","A","","03/19/2012"
"33053039360000","22220","OASIS PETROLEUM NORTH AMERICA LLC","JEFFERIES  5301 43-12B","JEFFERIES","5301 43-12B","OASIS PETROLEUM NORTH AMERICA LLC","JEFFERIES  5301 43-12B","02/01/2012","21220","MCKENZIE","153 N","101 W","12","SWSE","250 FSL  2510 FEL","BAKER","BAKKEN","HORIZONTAL","48.082715440080094","-103.61377833552024","OG","A","222100","03/22/2012"
"33053039370000","22221","OASIS PETROLEUM NORTH AMERICA LLC","INNOKO  5301 43-12T","INNOKO","5301 43-12T","OASIS PETROLEUM NORTH AMERICA LLC","TIMMONS  5301 43-12B","07/01/2013","21122","MCKENZIE","153 N","101 W","12","SWSE","250 FSL  2350 FEL","BAKER","BAKKEN","HORIZONTAL","48.082703220358816","-103.61312314281776","OG","A","222100","09/18/2013"
"33089006800000","22223","WILLISTON EXPLORATION, LLC","HUTZENBILER 9-137-99 A   1H","HUTZENBILER 9-137-99 A","1H","CHESAPEAKE OPERATING, INC.","HUTZENBILER 9-137-99 A   1H","02/16/2012","","STARK","137 N","99 W","9","SWSW","275 FSL  1275 FWL","WILDCAT","MADISON,TYLER","VERTICAL","46.688459127539907","-103.18361396639278","OG","A","122223","06/04/2014"
"33089006810000","22224","FIDELITY EXPLORATION & PRODUCTION COMPANY","KUNTZ   25-36H","KUNTZ","25-36H","FIDELITY EXPLORATION & PRODUCTION COMPANY","KUNTZ   25-36H","03/28/2012","20020","STARK","140 N","98 W","25","NWNW","370 FNL  1220 FWL","GREEN RIVER","BAKKEN","HORIZONTAL","46.918794123199582","-102.99361364014138","OG","A","122224","05/25/2012"
"33105024970000","22225","OASIS PETROLEUM NORTH AMERICA LLC","A K STANGELAND  5300 43-12T","A K STANGELAND","5300 43-12T","OASIS PETROLEUM NORTH AMERICA LLC","A K STANGELAND  5300 43-12T","03/06/2012","21010","WILLIAMS","153 N","100 W","12","SWSE","190 FSL  1700 FEL","CRAZY MAN CREEK","BAKKEN","HORIZONTAL","48.08267881975835","-103.48126499683211","OG","A","219638","09/08/2012"
"33105024980000","22226","HRC OPERATING, LLC","JOHNSON  1-25-36H","JOHNSON","1-25-36H","G3 OPERATING, LLC","JOHNSON  1-25-36H","03/10/2012","20052","WILLIAMS","157 N","102 W","25","NWNE","310 FNL  1980 FEL","STRANDAHL","BAKKEN","HORIZONTAL","48.401008472566836","-103.80576118428694","OG","A","222226","05/03/2012"
"33105024990000","22227","XTO ENERGY INC.","ODEGAARD STATE   21X-16B","ODEGAARD STATE","21X-16B","XTO ENERGY INC.","ODEGAARD STATE   21X-16B","04/10/2012","19520","WILLIAMS","157 N","95 W","16","NENW","275 FNL  2290 FWL","MIDWAY","BAKKEN","HORIZONTAL","48.429707552874163","-102.9626625459578","OG","A","122227","06/07/2012"
