Time,"Adair County, OK","Alfalfa County, OK","Atoka County, OK","Beaver County, OK","Beckham County, OK","Blaine County, OK","Bryan County, OK","Caddo County, OK","Canadian County, OK","Carter County, OK","Cherokee County, OK","Choctaw County, OK","Cimarron County, OK","Cleveland County, OK","Coal County, OK","Comanche County, OK","Cotton County, OK","Craig County, OK","Creek County, OK","Custer County, OK","Delaware County, OK","Dewey County, OK","Ellis County, OK","Garfield County, OK","Garvin County, OK","Grady County, OK","Grant County, OK","Greer County, OK","Harmon County, OK","Harper County, OK","Haskell County, OK","Hughes County, OK","Jackson County, OK","Jefferson County, OK","Johnston County, OK","Kay County, OK","Kingfisher County, OK","Kiowa County, OK","Latimer County, OK","Le Flore County, OK","Lincoln County, OK","Logan County, OK","Love County, OK","Major County, OK","Marshall County, OK","Mayes County, OK","McClain County, OK","McCurtain County, OK","McIntosh County, OK","Murray County, OK","Muskogee County, OK","Noble County, OK","Nowata County, OK","Okfuskee County, OK","Oklahoma County, OK","Okmulgee County, OK","Osage County, OK","Ottawa County, OK","Pawnee County, OK","Payne County, OK","Pittsburg County, OK","Pontotoc County, OK","Pottawatomie County, OK","Pushmataha County, OK","Roger Mills County, OK","Rogers County, OK","Seminole County, OK","Sequoyah County, OK","Stephens County, OK","Texas County, OK","Tillman County, OK","Tulsa County, OK","Wagoner County, OK","Washington County, OK","Washita County, OK","Woods County, OK","Woodward County, OK"
09/1991,9305,2589,4855,2933,8710,4787,13327,11772,39147,19731,15962,6049,1830,93991,2382,41148,2382,6322,29460,13441,13132,2472,2000,26326,11492,18397,2531,2208,1340,1993,4296,5328,10175,2882,3915,23706,6435,4666,4189,17309,13529,13350,3636,3724,4543,14699,11067,14044,6486,5529,29479,5405,4296,4357,303360,14838,18766,13041,6952,30362,18229,15480,26185,4255,1951,29449,10228,15027,19665,8130,4206,270296,24331,22461,5139,4213,8918
09/1992,9537,2636,4719,2839,8764,4836,13467,11893,39316,19499,16159,5878,1867,94633,2426,42710,2230,6501,29442,13409,13557,2366,1836,26503,11192,18613,2452,2305,1392,1991,4235,5468,10216,3125,4184,23806,6340,4829,3974,17757,14490,13212,3660,3667,4971,14510,11204,15262,6458,5772,28747,5113,4130,4570,308231,14739,18757,12790,6930,32977,17769,15499,26399,4593,1932,29162,10975,15309,18611,8254,4132,271300,24451,22379,5202,4230,8694
09/1993,10019,2762,4900,2953,9223,5137,13868,12167,39614,20857,16413,5997,1819,95159,2540,42037,2347,6430,29564,13262,14796,2433,1874,26742,11382,19386,2514,2417,1358,2039,4319,5673,10825,3222,4709,23568,6718,5015,4127,18495,14938,13336,3923,3813,4930,14912,11198,15054,7120,5635,30053,5336,4010,4520,303078,15226,18868,13816,6845,33437,18318,16441,26049,5029,2177,29897,11085,15827,18256,8724,4165,270998,24665,20757,5049,4376,8950
09/1994,10215,2763,4893,3014,9383,4998,13881,12083,40377,20262,16642,5825,1801,97947,2531,41517,2529,6488,30232,13307,15121,2425,1934,27100,11691,19625,2471,2503,1399,2039,4274,5686,10824,3401,4770,22706,6963,4928,4324,19247,14487,13720,4018,3823,5196,15066,11486,15010,7326,5424,31108,5656,3786,4353,306708,15094,18856,13006,6696,34101,17867,16107,26155,5034,2110,30572,10622,16254,18473,9025,4266,274298,25379,20280,5197,4393,9191
09/1995,9926,2585,5019,2941,9667,4789,13960,11748,41772,20916,16721,5687,1701,100920,2754,40625,2329,6372,30310,13238,16270,2275,1818,27052,11049,20639,2608,2458,1356,1874,4169,5502,11521,3314,4803,22861,6988,4703,4484,19607,15141,14111,3886,3860,5216,15438,12086,15014,7027,5751,29004,5632,3791,4331,312216,14676,18844,13470,6544,35128,17845,16585,26752,5080,1942,30931,10412,16281,17470,9283,3993,273615,25708,19792,5257,4173,8860
09/1996,9875,2371,4868,2730,9130,4782,14718,11943,43819,20525,16722,5520,1649,105619,2515,41185,2271,6538,31431,12730,15986,2075,1598,27061,11468,20417,2362,2508,1256,1701,4093,5004,11669,3405,4780,22462,6558,4472,4570,19484,14279,14227,3908,3914,4986,16047,12470,14647,7274,5647,30190,5526,3595,4293,322166,14442,19488,13012,6496,35591,17492,16309,27981,5269,1855,32405,10358,16661,17488,11738,3839,283402,26918,18327,5121,4236,9085
09/1997,8817,2383,4794,2798,9436,4820,14653,12273,44607,21197,17311,5523,1593,107580,2505,40579,2314,6819,32417,12570,16638,2069,1579,28236,11320,20334,2430,2550,1322,1634,4593,4967,12423,3446,4437,22289,6968,4476,4857,19154,14495,14384,3971,3999,5095,14497,12604,14391,7421,5796,30384,5894,4097,4448,324909,14998,19856,13333,6145,34204,17803,16327,28103,4842,1958,33805,10241,17254,17891,13451,3821,290723,27649,21334,5096,4341,9123
09/1998,9365,2537,4882,2860,9643,4626,17217,13026,45773,20994,17653,5771,1813,110794,2632,40400,2167,6757,33349,11873,17402,2059,1684,27577,11280,20366,2373,2668,1371,1710,5111,5446,12821,3343,4807,22378,7025,4692,4380,20098,14025,14384,3909,3866,5315,14862,12988,15442,7917,5683,31825,5795,3671,4033,328787,14720,20374,13060,6230,36542,17720,16939,28919,5141,2033,35695,9930,17480,18243,13529,3642,299534,28796,18755,4918,4402,9378
09/1999,8869,2423,4936,2608,9615,4558,16918,12955,46829,19974,18586,5652,1646,113587,2419,41581,2083,6651,33708,11907,17606,1900,1617,26928,10655,19214,2194,2439,1164,1701,4768,5411,12812,3100,4919,21580,6581,4663,4536,20283,14182,14603,3758,3833,5465,16212,13403,15425,7990,5386,32001,5651,3660,3799,334130,14365,20317,13367,6405,37679,17961,17203,29009,5043,1855,36861,10081,17405,18065,14256,3424,301578,29054,18957,4865,4334,8724
09/2000,9286,2686,5161,2988,8612,4620,16870,12212,46401,21054,18714,6117,1672,110713,2502,42667,2792,6993,31803,13277,16101,2275,2134,27924,12410,21934,2572,2255,1452,2018,5197,5707,11912,2886,4662,21520,7204,4689,4561,20802,14778,16931,4192,4052,5897,18216,13775,15075,7918,5922,28571,5735,4916,4504,324840,16973,20775,15835,7892,36156,17465,16573,29823,4666,1864,35989,10252,17187,19257,10812,3814,295797,29373,22774,5595,4613,9144
09/2001,9301,2533,5393,3123,8897,4673,17934,12407,47700,21385,19198,6374,1575,114395,2547,42185,2824,6818,32117,13115,16506,2392,2177,27268,13001,22149,2551,2316,1445,1972,5542,5350,12034,2664,4517,23034,7354,4574,4668,20835,14994,17365,4289,3846,5686,17572,14003,15294,8074,6007,28849,5496,5010,4762,330946,16961,20908,15380,7935,35273,18212,16598,30078,4806,1875,36940,10732,17278,19453,10731,3746,297122,29924,23008,5958,4489,9535
09/2002,9296,2593,5465,3015,8961,4658,18206,12401,48337,21675,20008,6707,1526,115001,2507,43942,2836,6540,32096,13029,16715,2414,2170,27777,12854,22511,2639,2309,1489,2013,5677,5266,12198,2525,4612,22766,7367,4637,4094,21116,14969,17382,4313,3899,5849,16649,13966,14859,8121,5907,30516,5310,4940,4827,332984,16806,20847,14922,7834,35454,18728,16765,29814,4873,1936,37522,10588,17607,19476,10494,3879,296291,30352,23168,5821,4619,9515
09/2003,10039,2631,5634,3078,9323,4759,18171,12654,48207,23000,19999,6391,1563,114272,2368,44617,3114,6641,31640,13253,17142,2491,2273,27611,13098,22320,2676,2347,1410,2020,5630,5367,12543,2556,4919,21878,7433,4415,4066,21465,14680,17458,4641,3882,5990,16361,13934,14701,8359,6233,28788,5264,4905,4603,328808,16612,20348,15248,7727,35239,19482,17718,29836,5332,2015,37762,10751,17958,19840,10524,3780,290065,30457,23744,6009,4676,9571
09/2004,10278,2502,5543,3017,9442,4743,18705,12299,49865,23518,20879,6330,1465,116702,2241,45333,3237,6640,31342,13608,17305,2469,2198,27694,13326,23007,2581,2205,1434,1884,5209,5274,12469,2474,4614,21353,7953,4262,4147,21154,14783,18062,4730,3758,6117,16298,14309,14745,8391,6593,28555,5252,4868,4638,332278,16511,20275,15455,7663,34685,19703,17797,30590,4994,1918,38437,10064,17919,19331,10013,3651,287673,30934,23654,5831,4546,9599
09/2005,10065,2315,5492,2898,9665,4769,19183,12130,51344,23415,20599,6627,1322,118623,2201,44776,3297,6659,31932,13493,17400,2356,2121,28250,13083,23504,2479,2083,1335,1847,5301,5099,12187,2272,4880,20895,7580,4036,4020,21491,14798,18214,4722,3640,6059,16639,14737,13897,8358,7071,29491,5433,4882,4427,333818,16723,20697,16073,7752,35794,20246,18921,30727,5332,1835,39783,10044,18131,20091,9375,3442,293284,31931,24976,5835,4235,10201
09/2006,10546,2256,5765,2960,10606,4727,19891,11776,51480,24509,21136,6787,1256,117615,2441,45148,3352,6861,31477,13699,17550,2341,2259,29324,13837,23710,2334,2031,1426,1878,5468,5116,12278,2386,5008,21750,7997,3873,4106,21772,14558,17823,4925,3825,6379,17469,14854,13782,8203,8047,29145,5783,4875,4465,328892,16453,20508,16636,7641,33781,21521,20133,32051,5633,1793,40190,10238,18423,21169,8989,3421,292938,32589,25765,5845,4048,11243
09/2007,11086,2297,5901,3124,11789,4911,20869,12097,50957,25612,23101,6832,1236,117867,2482,44803,3944,7450,30911,14653,18769,2463,2371,30530,14738,22760,2519,2006,1304,1883,5694,4922,12695,2356,5022,22938,8334,3909,4202,21457,13911,16994,5098,4021,6356,18399,14708,13718,8513,8115,30005,5890,4960,4743,323267,15986,20092,16943,7352,35881,23142,20160,32920,5262,1871,39775,10697,18098,21724,9320,3392,290810,32420,27076,5991,4225,12187
09/2008,11131,2567,6137,3425,12687,5027,20227,12899,52415,27005,23218,7036,1335,120050,2562,45929,3854,7564,31238,14969,19227,2745,2633,31782,15077,23002,2730,2093,1358,2153,6053,5315,12223,2517,5260,24034,8749,4129,4776,20936,13953,17850,5340,4365,6533,18495,15053,14734,8667,8730,29786,5817,5067,4689,326700,15962,20077,18384,7312,35459,23896,20413,33006,5268,2019,40178,11291,17819,22138,9937,3643,293373,33226,27153,6289,4459,12925
09/2009,11328,2488,6323,3312,11875,4951,20611,13191,53300,28804,24946,7446,1278,120158,2643,47662,3799,7561,31111,15480,19775,2764,2390,31926,15225,23275,2644,2104,1385,2064,6253,5811,12270,2536,5249,23346,7683,4164,4354,20855,13851,18105,5675,4278,6620,18510,15163,14820,9049,9310,31470,5885,5177,4834,326318,15768,19609,18628,7277,35380,23508,21026,33921,5498,1933,40369,11207,17700,22163,7633,3539,293211,33245,28081,6199,4554,11451
09/2010,8934,2526,5099,2929,10411,4285,18527,11850,60286,21356,19464,6050,1465,131574,2313,50383,2959,6495,31612,14160,17119,2343,2066,28386,12181,25490,2577,2206,1302,1884,4725,5553,11495,2673,3724,20633,7437,4359,4788,20838,15697,19875,4730,3929,6407,18157,17235,14671,7402,6238,30174,5270,4887,4343,355708,16755,21128,14608,7621,37398,18838,17663,31082,4994,1890,43066,9971,18172,20001,8662,3401,305155,35075,24009,5509,4245,9434
09/2011,9075,2638,5057,2997,11687,4337,17656,11776,62016,21758,19319,6061,1354,134293,2466,50487,2907,6409,31328,15293,17498,2459,2156,28940,12394,25478,2523,2130,1298,1881,4733,5446,11304,2702,3743,20658,7580,4279,4501,20142,15617,20371,5062,4048,6757,18227,17383,14678,7404,6553,29963,5378,4949,4432,360478,16561,21262,14432,7608,36863,19197,18365,31636,5011,1977,43167,10158,17468,20615,8878,3357,305084,35253,24253,5561,4511,9978
09/2012,8525,2863,5094,3073,12678,4392,17899,11712,63877,22053,19226,5819,1187,137570,2394,50579,2835,6381,31773,15703,17117,2265,2295,29539,12566,25670,2577,1956,1352,1865,4754,5797,10887,2564,3621,20265,7652,4229,4573,20219,15669,20706,5201,4051,6807,18478,17670,14404,7469,6656,30352,5524,4885,4372,369106,16490,21356,14578,7500,38495,19365,18527,32128,4831,2166,43874,9990,17277,20756,8796,3363,312014,36213,24724,5622,5303,10646
09/2013,8242,2935,5001,2958,12663,4265,17934,11231,64962,22055,18706,6052,1168,137759,2266,49769,2832,6287,31324,16145,17047,2680,2310,29411,12687,25594,2597,1968,1339,1880,4474,5609,10769,2499,3666,19815,7803,4164,4089,19651,15541,20813,5269,4155,7013,18929,17869,14071,7377,6473,29799,5526,4819,4478,370526,16180,21097,13993,7380,38164,17883,17669,32559,4775,1887,43865,9790,16835,20842,9150,3359,312230,36007,24630,5593,5068,10611
09/2014,8116,3141,4778,3180,13044,4458,17903,11225,66133,22027,18677,5778,1288,136241,2319,48785,2832,6077,30869,15937,17114,2501,2329,29765,12536,25523,2893,2054,1272,2014,4358,5673,10736,2542,3699,19072,8073,4057,3890,19336,15560,21075,5529,4345,6908,18918,18229,13955,6986,6574,29297,5568,4748,4482,370715,15910,20907,13779,7302,38609,17068,17700,32361,4719,1827,43529,9591,16686,20550,9387,3142,310482,35466,24371,5712,5258,10801
09/2015,8148,3130,4943,2944,12066,4266,18400,11839,68448,22590,19214,5854,1297,138748,2322,49142,2802,6226,31240,15497,17489,2463,2311,30133,12797,26210,3126,2140,1279,1862,4478,5717,10772,2617,4071,19177,8110,4121,3816,19652,15841,21477,6017,4080,6706,19488,18719,14833,7095,6661,29646,5669,4801,4596,376115,16080,21110,14516,7396,38957,17447,18379,33118,4749,1802,44563,9655,16719,19942,9542,3311,317436,36185,24282,5562,5259,10073
09/2016,8215,2970,5062,2896,11268,4451,19598,12190,69384,22841,19113,5766,1441,139157,2363,49289,2887,6308,31396,15115,18114,2764,2264,29093,12680,26072,2999,2172,1287,1913,4512,5551,11014,2750,4308,18797,8435,4096,3712,19795,15879,21575,6679,3991,6595,19419,18969,14938,7070,6330,29736,5851,4697,4586,375295,16052,20993,14440,7463,39471,17631,18601,33172,4969,1856,44698,9516,16842,18679,9240,3330,316859,36459,23752,5392,5118,9450
09/2017,8433,2948,5315,3176,11684,4942,20648,12568,70480,22456,19239,5693,1416,141765,2272,48995,2842,6195,31595,15693,18641,2537,2222,27714,12800,26310,2878,2061,1239,1855,4434,5490,10827,2565,5128,19518,8824,3928,3392,19392,15994,21928,6584,4021,6589,19564,19180,14716,6943,6523,29753,5729,4632,4533,381986,16140,21135,14402,7460,38346,18096,18608,33206,4714,1915,45110,9503,16615,18370,9273,3260,321105,36942,23285,5545,4913,9437
10/1990,8905,2906,4624,3195,8518,5248,13791,12051,39461,19751,16232,5830,1725,94826,2481,42532,2810,6437,29213,13471,12225,2315,2179,26931,11615,20010,2500,2481,1363,2027,4434,5472,10914,2824,3978,23046,6488,4886,4477,18662,13263,13357,3732,3674,4586,14478,11341,14065,6462,5301,29456,5351,4424,4590,311651,15564,18956,13696,7455,31242,17631,15984,27099,4343,1939,28462,10452,15318,18890,8575,4294,268946,24216,23304,5109,4528,9512
10/1991,9382,2545,4786,2932,8688,4917,13073,12128,39237,19667,16083,6242,1761,94250,2377,42262,2342,6330,29581,13670,12962,2343,1977,26438,11533,18552,2455,2215,1325,2032,4383,5469,10142,2877,3977,23590,6491,4760,4344,17445,13541,13395,3677,3694,4632,14608,11090,14162,6521,5680,29441,5474,4302,4344,304519,15053,18924,13076,6762,30678,18722,15840,26256,4282,1923,29599,10363,15375,19458,8324,4197,272686,24634,22419,5233,4383,8805
10/1992,9666,2587,4763,2877,8552,4646,13457,11854,39678,19565,15904,5943,1772,95093,2385,43615,2186,6480,29580,13430,13427,2352,1817,26427,11129,19045,2465,2223,1389,2000,4259,5453,10203,3086,4163,23480,6437,4787,4072,18163,14290,13274,3660,3671,5016,14160,11089,14370,6488,5609,28776,5142,4083,4831,305778,14705,18937,12717,6768,33754,17735,15956,26027,4589,1903,29364,10845,15462,18274,8419,4194,273881,24595,22419,5272,4385,8637
10/1993,9921,2607,4925,2860,9181,5041,13812,12037,40178,20699,16394,5977,1751,96258,2526,42392,2302,6332,30008,13434,14410,2394,1824,27233,11425,19891,2470,2396,1396,1997,4323,5848,10814,3198,4730,23792,6754,4891,4263,19051,14979,13488,3923,3674,5089,14876,11285,15088,6969,5526,30144,5301,4048,4703,307242,15410,19164,13900,6863,34711,18575,16665,26240,5105,2096,30287,11060,15859,18423,8722,4199,275097,25169,21325,5193,4385,9154
10/1994,10478,2777,4824,3159,9525,5128,14047,12122,40882,20352,16739,5969,1831,99091,2574,41390,2564,6633,30570,13584,15191,2425,2011,27412,11610,20388,2516,2500,1390,2025,4273,5775,10967,3329,4831,23078,7046,4887,4371,19538,14732,13810,4040,3874,5368,14974,11619,14962,7035,5521,29554,5671,3883,4472,310005,15495,19067,13446,6845,34646,17914,16373,26445,5089,2114,30687,10784,16516,18513,9367,4332,276823,25678,20567,5321,4499,9324
10/1995,10076,2638,4975,2976,9696,4934,14270,12117,42094,21095,17053,5679,1772,102051,2789,41366,2332,6497,30572,13381,16344,2314,1850,27061,11251,20649,2647,2503,1374,1907,4275,5579,11524,3256,4935,23256,7154,4867,4434,20053,14928,14272,3933,3874,5138,15523,12254,15041,7138,5652,29348,5590,3849,4395,315230,14866,18978,13678,6711,35792,17645,16847,27056,5149,1980,31062,10534,16350,17714,10081,4011,275168,25839,19867,5303,4373,9099
10/1996,10632,2379,4888,2807,9224,4889,14928,12180,44277,20630,17007,5581,1617,106622,2557,41435,2280,6550,31737,12733,16333,2117,1602,27425,11502,20882,2402,2497,1273,1729,4260,4999,12020,3346,4894,22681,6650,4521,4818,19831,14507,14386,3916,3929,5120,15343,12582,14796,7441,5502,30582,5582,3626,4253,325426,14499,19591,13368,6727,36058,17605,16716,28276,5327,1869,32558,10419,16703,17485,11835,3970,285364,27068,18598,5115,4338,9103
10/1997,8888,2373,4813,2825,9447,4842,14870,12263,44887,21169,17434,5614,1614,108376,2585,40863,2355,6850,32693,12676,16799,2064,1606,28582,11409,20456,2438,2549,1333,1655,4669,4989,12450,3466,4454,22154,7015,4536,4890,19421,14606,14463,3971,4028,4957,14586,12775,14541,7476,5830,30659,5920,4143,4629,326994,15166,19987,13461,6205,34423,17863,16480,28394,4892,1990,34105,10264,17499,17910,13505,3819,293108,27848,21459,5144,4374,9198
10/1998,9220,2612,4946,2707,9492,4598,17003,13266,46051,20758,18082,5743,1762,111773,2560,41216,2131,6605,33549,12070,17514,2041,1671,28155,11366,20542,2399,2692,1345,1752,4930,5402,12811,3194,4926,22423,7013,4662,4415,20136,13868,14446,3852,3881,5266,15332,13086,15644,8017,5638,32042,5802,3702,4414,331289,14768,20479,13515,6285,36974,17990,17039,29162,5249,2060,36015,10039,17645,18387,14463,3615,300586,28991,19048,5056,4604,9436
10/1999,9106,2478,5067,2617,9842,4607,16615,13210,47179,20272,18546,5604,1738,114312,2503,41989,2216,6794,33912,12267,17868,1934,1613,27427,10613,19596,2208,2494,1234,1743,5065,5444,13109,3090,4928,22197,6662,4787,4592,19832,14141,14718,3815,3885,5538,15897,13512,15283,7986,5426,32098,5670,3674,3710,336473,14467,20374,13405,6366,38635,18115,17735,29183,5009,1956,37068,10130,17477,18054,14244,3418,303238,29144,19022,5036,4468,8714
10/2000,9278,2622,5184,2906,8628,4639,16736,12336,46813,21132,18855,6022,1588,111794,2501,43044,2786,6885,32041,13197,15924,2237,2071,27994,12492,22121,2534,2231,1438,1963,5100,5575,11976,2802,4627,22143,7145,4638,4459,20849,14932,17089,4232,4021,5737,17984,13892,15079,7780,6015,28564,5749,4861,4753,327803,17145,20906,15867,7961,36596,17462,16755,30341,4679,1852,36288,10395,17277,19631,10772,3809,298078,29627,22750,5675,4617,9370
10/2001,9479,2591,5396,3142,8903,4746,17946,12624,47875,21759,19686,6533,1563,114429,2607,42501,2823,6716,32264,13467,16626,2417,2209,27452,13243,22238,2566,2342,1478,2012,5692,5412,12137,2621,4612,23314,7388,4668,4709,20989,15052,17450,4351,3835,5993,17528,14033,15582,8150,6095,29644,5476,4947,4919,332457,17076,21003,15583,8000,35488,18282,16749,29888,4932,1845,37060,10792,17402,19486,10898,3775,298869,30054,23402,6134,4644,9630
10/2002,9285,2569,5483,3027,8961,4724,18375,12507,48493,22060,19951,6725,1550,115224,2553,44546,2858,6663,32215,13243,16477,2433,2176,27763,13058,22580,2630,2246,1448,2017,5664,5451,12066,2529,4615,23035,7313,4561,4147,21217,14989,17446,4376,3814,5908,16665,13995,14946,8097,5955,30338,5432,4970,4811,334077,16816,20868,14995,7846,35804,18848,17031,30098,4825,1931,37656,10724,17667,19402,10413,3853,296947,30388,23421,5861,4712,9394
10/2003,9938,2601,5652,3129,9479,4803,18323,12710,48610,23007,20421,6463,1554,115179,2368,45026,3102,6682,31760,13566,17012,2496,2262,27252,13204,22558,2633,2363,1433,1993,5656,5375,12739,2533,4979,21977,7483,4439,4181,21449,14749,17574,4629,3888,6012,16343,14018,14953,8282,6215,28913,5229,4921,4646,331221,16812,20465,15290,7785,35557,19638,17900,30129,5304,2020,38075,10768,17904,19836,10588,3773,291537,30628,24250,5966,4740,9611
10/2004,9941,2450,5539,2978,9597,4723,18999,12274,50186,23739,20878,6433,1398,117546,2243,45898,3255,6577,31766,13527,17374,2405,2124,28092,13476,23200,2544,2210,1416,1828,5238,5336,12543,2433,4613,22231,7875,4244,4154,21336,14933,18202,4769,3665,6188,16476,14418,14494,8419,6709,28763,5314,4904,4788,334739,16758,20498,15718,7736,35463,19974,18052,30916,5107,1906,38817,10212,18104,19458,9914,3629,290453,31229,24398,5781,4551,9788
10/2005,10196,2360,5637,2893,9801,5002,19616,12362,51612,23680,20894,6580,1298,119214,2283,45245,3387,6718,32138,13734,17405,2445,2164,28526,13297,23672,2429,2082,1361,1837,5366,5183,12364,2320,4916,21163,7862,4070,4072,21374,14868,18300,4785,3694,6052,16941,14816,13790,8450,7198,29301,5445,4921,4394,335400,16802,20892,16145,7820,36160,20336,19256,31018,5362,1930,40220,10089,18084,20251,9453,3471,295959,32209,25223,5890,4414,10300
10/2006,10577,2231,5830,2954,10427,4835,20448,11772,51662,24663,21790,6813,1236,118087,2437,45486,3344,6779,31680,13982,17392,2428,2192,29468,13911,23764,2313,2044,1412,1846,5477,5066,12444,2354,5035,21998,8050,3857,4256,21887,14609,17902,4952,3829,6328,17508,14930,13838,8209,8063,29315,5753,4818,4491,330112,16574,20635,16649,7725,36760,21579,20500,32904,5645,1762,40493,10222,18535,21202,8881,3416,294989,32852,25648,5749,4091,11225
10/2007,10932,2303,5881,3089,11685,4897,20490,12000,51338,25543,23423,6737,1210,118743,2465,45052,4051,7235,31043,14613,18318,2380,2414,30334,14593,22879,2462,1994,1297,1838,5716,4768,12533,2283,5031,22759,8375,3891,4194,21330,13994,17106,5081,3930,6198,18154,14833,13672,8482,8169,29224,5979,4922,4676,325470,16112,20228,16847,7373,38871,22733,20094,32494,5184,1853,39986,10656,17947,21673,9380,3338,292597,32668,26923,5919,4456,12211
10/2008,11209,2589,6237,3378,12728,5027,20292,12758,53018,27208,23253,6962,1286,121695,2587,46544,3553,7666,31533,15088,19186,2730,2634,31803,15251,23301,2681,2093,1346,2099,6034,5344,12399,2497,5260,24261,8420,4103,4839,20888,14096,18026,5392,4440,6550,18614,15254,14560,8654,8720,30069,5759,5100,4701,330143,16093,20224,18558,7364,35253,23864,20763,33480,5314,1982,40569,11365,17726,22370,9988,3586,295967,33522,27640,6335,4482,12767
10/2009,11282,2483,6295,3250,11670,4922,20605,13011,53550,28774,25045,7324,1241,120693,2646,48537,3747,7476,31283,15411,19598,2701,2374,31907,14901,23264,2602,2090,1339,1981,6142,5796,12358,2500,5209,23448,7630,4076,4302,20669,13918,18216,5677,4218,6566,18329,15264,14720,8917,9277,31319,5813,5202,4843,327495,15870,19742,18657,7339,35247,23445,20910,34123,5483,1971,40608,11158,17560,21968,7597,3420,295037,33469,27842,6100,4614,11212
10/2010,8882,2497,5045,2927,10489,4286,18396,11778,60532,21420,19320,6111,1454,132324,2320,51371,2999,6495,31799,14178,16996,2347,2085,28098,12221,25558,2530,2170,1307,1879,4708,5545,11475,2662,3689,21091,7434,4310,4522,20662,15765,19973,4707,3862,6473,17927,17288,14500,7376,6274,29863,5253,4886,4324,357378,16852,21244,14387,7660,36849,18886,17703,31156,4920,1894,43384,9859,18025,20156,8532,3447,307625,35383,24099,5471,4318,9345
10/2011,8880,2589,4978,3003,11665,4313,17700,11478,62298,21800,19078,5890,1271,135228,2385,50928,2883,6331,31656,15357,17353,2432,2119,29055,12268,25480,2457,2095,1290,1811,4740,5420,11291,2695,3708,20880,7504,4221,4503,20080,15635,20422,5002,4024,6706,18214,17355,14355,7367,6554,30018,5388,4921,4435,362507,16635,21459,14356,7633,36815,19259,18355,31909,4852,1907,43677,10142,17428,20632,8679,3313,308606,35655,24432,5514,4559,9983
10/2012,8513,2835,5083,3093,12650,4360,17913,11659,64503,22131,19146,5811,1168,139015,2379,51274,2840,6301,32134,15656,16902,2305,2280,29881,12860,25831,2575,1946,1326,1864,4731,5831,10854,2580,3601,20371,7631,4239,4604,20113,15725,20857,5165,4051,6712,18666,17737,14291,7427,6707,30373,5540,4954,4427,372504,16673,21585,14466,7563,38018,19115,18434,32485,4784,2162,44565,10047,17146,20834,8711,3367,315712,36661,24928,5570,5317,10655
10/2013,8147,2883,4918,2970,12591,4307,17790,11087,65116,22033,18390,5871,1119,137961,2225,50045,2818,6198,31357,15954,16777,2269,2283,28936,12887,25528,2539,1956,1269,1849,4417,5687,10634,2503,3624,19895,7696,4104,4104,19564,15494,20791,5276,4036,6889,18930,17809,13824,7317,6439,29692,5549,4853,4453,371009,16222,21155,14001,7356,37763,17637,17952,32534,4660,1822,44043,9684,16750,20417,8940,3311,312950,36086,24589,5464,5094,10575
10/2014,8206,3246,4793,3155,13054,4471,18009,11450,66613,22330,18627,5929,1336,137033,2368,49124,2860,6202,31240,15914,17344,2565,2382,29893,12710,25738,2952,2085,1279,2071,4393,5743,10834,2597,3750,19268,8152,4104,3966,19491,15674,21222,5677,4443,6908,19016,18373,14122,7071,6588,29562,5589,4788,4486,373091,16129,21202,13900,7396,38673,17237,17908,32500,4805,1871,44104,9686,16818,20683,9647,3375,314195,35912,24376,5713,5464,10898
10/2015,8081,3123,4883,2936,11960,4359,18691,11862,68798,22613,19179,5824,1325,139173,2386,49653,2823,6277,31631,15526,17575,2552,2302,30065,12823,26316,3137,2112,1274,1905,4505,5734,10915,2690,4078,19073,8199,4130,3829,19648,15955,21534,6116,4138,6744,19384,18758,14633,7104,6942,29786,5662,4755,4594,377675,16271,21354,14462,7479,38936,17577,18518,33250,4905,1805,45288,9689,16740,20176,9485,3303,321063,36583,24497,5497,5308,9935
10/2016,8217,2973,5157,2916,11289,4462,19647,12106,69447,22866,18982,5662,1447,139290,2348,49422,2873,6177,31594,15160,18013,2826,2255,28900,12728,26079,3032,2162,1273,1910,4519,5526,11061,2655,4424,18695,8461,4072,3670,19776,15882,21572,6662,3956,6573,19492,18970,14771,7059,6253,29753,5855,4725,4493,375729,16216,21115,14615,7507,39530,17791,18515,33411,4948,1836,45045,9459,16843,18509,9510,3312,319020,36663,23768,5326,5127,9426
10/2017,8534,3041,5310,3134,11633,4599,21001,12554,70493,22659,18886,5751,1467,141305,2383,49057,2874,6113,31810,15361,18416,2589,2271,27719,12762,26421,2950,2113,1319,1861,4428,5567,10989,2540,5148,19208,8760,4001,3392,19356,16037,21924,6725,4032,6553,18999,19285,14978,6925,6521,29465,5803,4657,4531,381677,16344,21346,14402,7540,38443,17562,19130,33285,4941,1950,45361,9369,16558,18416,9584,3329,323033,37172,22979,5558,4928,9355
11/1990,8849,2911,4589,3072,8658,5224,13745,12009,39307,19766,16139,5748,1735,94568,2452,42079,2797,6321,29365,13525,12263,2287,2150,27193,11569,19942,2470,2432,1374,2017,4578,5296,10812,2828,3993,23213,6397,4866,4372,19203,13368,13340,3693,3686,4514,14732,11276,14098,6590,5272,29429,5461,4423,4565,311040,15457,18836,13278,7570,32959,17698,15774,26846,4335,1934,28584,10322,15430,18972,8477,4341,269498,24306,23145,5104,4481,9325
