Time,"Adair County, OK","Alfalfa County, OK","Atoka County, OK","Beaver County, OK","Beckham County, OK","Blaine County, OK","Bryan County, OK","Caddo County, OK","Canadian County, OK","Carter County, OK","Cherokee County, OK","Choctaw County, OK","Cimarron County, OK","Cleveland County, OK","Coal County, OK","Comanche County, OK","Cotton County, OK","Craig County, OK","Creek County, OK","Custer County, OK","Delaware County, OK","Dewey County, OK","Ellis County, OK","Garfield County, OK","Garvin County, OK","Grady County, OK","Grant County, OK","Greer County, OK","Harmon County, OK","Harper County, OK","Haskell County, OK","Hughes County, OK","Jackson County, OK","Jefferson County, OK","Johnston County, OK","Kay County, OK","Kingfisher County, OK","Kiowa County, OK","Latimer County, OK","Le Flore County, OK","Lincoln County, OK","Logan County, OK","Love County, OK","Major County, OK","Marshall County, OK","Mayes County, OK","McClain County, OK","McCurtain County, OK","McIntosh County, OK","Murray County, OK","Muskogee County, OK","Noble County, OK","Nowata County, OK","Okfuskee County, OK","Oklahoma County, OK","Okmulgee County, OK","Osage County, OK","Ottawa County, OK","Pawnee County, OK","Payne County, OK","Pittsburg County, OK","Pontotoc County, OK","Pottawatomie County, OK","Pushmataha County, OK","Roger Mills County, OK","Rogers County, OK","Seminole County, OK","Sequoyah County, OK","Stephens County, OK","Texas County, OK","Tillman County, OK","Tulsa County, OK","Wagoner County, OK","Washington County, OK","Washita County, OK","Woods County, OK","Woodward County, OK"
07/2017,8110,2777,5088,3037,11345,4730,21062,11910,70494,22306,18969,5666,1347,141778,2087,49415,2850,6064,31869,15208,19066,2395,2127,28159,12447,26257,2872,2037,1250,1804,4194,5135,10439,2300,4950,19333,8642,3839,3357,19268,15978,21897,6510,4050,6362,18831,19146,14382,6810,6543,29676,5696,4444,4345,381821,16218,21260,14525,7499,38054,17531,18330,32542,4474,1742,45602,9117,16496,17750,9160,3139,323476,37231,23546,5292,4786,9639
08/1990,9397,2780,4764,3083,8256,5256,13672,12254,39836,19819,15312,5606,1654,95987,2401,42635,2931,6556,29673,13325,12387,2345,2228,27181,11524,19667,2525,2494,1437,2063,4435,5044,11191,2874,3967,23681,6366,4807,3866,18373,13313,13507,3624,3636,4666,14978,11455,14139,6533,5431,29865,5429,4346,4355,315720,14616,19220,13410,7526,29057,17251,15682,27040,4400,2137,28976,10413,15741,19073,8629,4290,273173,24594,22976,5143,4132,9485
08/1991,9540,2479,4938,2985,8854,4920,12735,12162,39337,19797,15691,5817,1869,94181,2297,41427,2389,6485,29748,13226,12774,2547,2088,26804,11502,18527,2515,2304,1391,1971,4349,5152,10252,2841,3878,23797,6419,4755,4094,16742,13244,13411,3686,3825,4498,14699,11113,14054,6557,5713,29980,5359,4222,4253,303973,14388,18962,12573,6732,28469,18310,15078,26295,4280,2065,29312,10299,15579,19529,8536,4166,273093,24478,22204,5069,4074,8998
08/1992,9866,2564,4762,2756,8949,4788,13045,12211,39501,19825,16013,5698,1881,94915,2367,43555,2168,6654,29898,13286,13456,2427,1920,26749,11046,18628,2474,2366,1427,2103,4369,5291,10477,3132,4257,24554,6376,4811,3867,17620,14008,13377,3720,3715,5017,14758,11137,15685,6585,5887,29447,5291,4115,4516,305228,14393,19020,12701,6939,30212,17908,15551,26128,4601,2016,29492,11191,15796,18522,8635,4217,274962,24834,22409,5171,4287,8972
08/1993,10333,2737,5037,2948,9568,5250,13258,12280,40115,21122,16291,5751,1809,96338,2567,42359,2412,6634,29889,13150,14756,2478,1996,27769,11372,19671,2469,2539,1420,2163,4459,5506,11023,3107,4679,24010,6673,4987,3956,18224,14914,13505,4051,4008,4945,14670,11311,14902,7231,5694,30436,5375,3957,4356,307668,14887,19250,13430,6873,32160,18730,16001,26139,5181,2310,30420,11051,16188,18256,8903,4202,276725,25108,20654,5039,4048,9155
08/1994,10474,2677,4935,3058,9602,4985,13601,11995,40530,20696,16078,5841,1752,97910,2447,42359,2624,6601,30922,13223,15084,2430,1962,27890,11689,19849,2455,2559,1439,2078,4308,5517,10895,3286,4766,23148,6767,5060,4085,18846,14313,13635,4073,3908,5157,14994,11464,14829,7473,5522,31152,5538,3756,4099,307804,14771,19292,12590,6900,32514,17990,15497,26121,5045,2211,31401,10675,16563,18000,9090,4209,280161,25848,20092,5400,4275,9324
08/1995,9967,2511,5040,3012,9743,4814,13299,11718,41932,20869,16058,5430,1668,101514,2698,41514,2405,6518,30852,12988,16386,2309,1889,27583,10897,20009,2477,2560,1390,1939,4189,5231,11581,3353,4789,23101,6910,4688,4254,18842,14615,14163,3958,3993,5171,15498,12097,14974,7018,5792,28936,5631,3814,4135,314481,14342,19251,12715,6466,33108,17548,16117,26904,5007,2080,31554,10280,16446,17513,9125,3979,278572,26236,19713,5146,4100,8999
08/1996,9926,2355,4985,2726,9419,4798,14564,11653,43997,20569,16331,5237,1657,106027,2505,41757,2306,6653,31844,12676,16159,2079,1645,27665,11368,19996,2295,2570,1276,1788,4156,4819,11594,3381,4819,22626,6499,4472,4470,18882,14056,14322,3923,4035,5058,15881,12529,14638,7251,5703,29944,5496,3516,4188,323061,13944,19774,12560,6787,34635,17346,16039,28067,5393,1953,32868,10353,16977,17265,11717,3870,287153,27265,17758,5100,4112,9342
08/1997,8909,2210,4828,2853,9572,4895,14647,12329,44475,21219,17496,5649,1636,107456,2513,40632,2349,6864,32568,12731,16759,2058,1616,28654,11442,20568,2488,2588,1338,1618,4537,4977,12595,3460,4443,22408,7101,4409,4835,19185,14636,14363,3969,4062,4919,14646,12585,14408,7434,5779,30455,5936,4130,4408,324251,15039,19961,13511,6118,34190,17943,16288,28245,4780,2001,34033,10347,17452,18079,13724,3792,292686,27857,21373,5162,4331,9230
08/1998,9466,2547,4970,2968,9720,4627,16670,13140,45601,20946,17756,5644,1905,110717,2534,40654,2185,6845,33536,11963,17290,2142,1786,28207,11307,19835,2371,2785,1444,1823,5112,5356,12904,3403,4760,22672,6945,4803,4287,19653,13538,14386,3897,3987,5236,14760,12976,15179,7939,5777,31893,5948,3605,3851,328071,14304,20430,12620,6204,35085,17301,16640,28739,5218,2162,35956,9784,17581,17923,13587,3648,301913,29008,18115,4936,4375,9597
